PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40614182,Safety and immunogenicity of intranasal parainfluenza virus type 5 (PIV5)-vectored COVID-19 vaccine in adults and teens in an open-label phase 1 trial.,2025,Hong Jin; Kristeene Knopp; Henry Radziewicz; Marinka Tellier; Zhuo Li; Maria Cristina Gingerich; Samuel Wu; Biao He,"CyanVac LLC, 111 Riverbend Rd, Athens, GA 30602, USA.; CyanVac LLC, 111 Riverbend Rd, Athens, GA 30602, USA.; CyanVac LLC, 111 Riverbend Rd, Athens, GA 30602, USA.; CyanVac LLC, 111 Riverbend Rd, Athens, GA 30602, USA.; CyanVac LLC, 111 Riverbend Rd, Athens, GA 30602, USA.; CyanVac LLC, 111 Riverbend Rd, Athens, GA 30602, USA.; CyanVac LLC, 111 Riverbend Rd, Athens, GA 30602, USA.; CyanVac LLC, 111 Riverbend Rd, Athens, GA 30602, USA.",
40613010,COVID-19 Hospitalization and Mortality Trends Among US Dialysis Patients by Race/Ethnicity and Vaccination Status.,2025,Monica M Shieu; Nien Chen Li; Harold J Manley; Antonia Harford; Doug Johnson; Eduardo K Lacson,"Quality Analytics, Dialysis Clinic Inc., Nashville, TN.; Quality Analytics, Dialysis Clinic Inc., Nashville, TN.; Quality Analytics, Dialysis Clinic Inc., Nashville, TN.; Quality Analytics, Dialysis Clinic Inc., Nashville, TN.; Quality Analytics, Dialysis Clinic Inc., Nashville, TN.; Quality Analytics, Dialysis Clinic Inc., Nashville, TN.",
40611257,Targeting heptad repeats and fusion peptide: nanoparticle vaccine elicits mucosal immune response against SARS-CoV-2 variants.,2025,Baisheng Li; Huan Zhang,"Guangdong Provincial Center for Disease Control and Prevention, Guangzhou, 511430, China.; Guangdong Provincial Center for Disease Control and Prevention, Guangzhou, 511430, China.",
40609232,The COVID-19 vaccination health literacy questionnaire (CVHL-Q): Design and validation according to classic psychometric and Rasch analyses.,2025,María Romay-Barja,"National Centre of Tropical Medicine, Carlos III Health Institute, Madrid, Spain; Centre for Biomedical Research in Infectious Diseases Network (CIBERINFEC), Madrid, Spain.",
40608426,MICBG406A polymorphism reduces risk of mechanical ventilation and death during viral acute lung injury.,2025,Oscar A Aguilar,"Department of Microbiology and Immunology, UCSF, San Francisco, United States of America.",
40604011,Age associated SARS-CoV-2 immune responses provide insights into population immunity over four years since the COVID-19 pandemic.,2025,Thaneeya Duangchinda; Pattarakul Pakchotanon,"Molecular Biology of Dengue and Flaviviruses Research Team, National Center for Genetic Engineering and Biotechnology (BIOTEC), National Science and Development Agency, NSTDA, Pathum Thani, 12120, Thailand.; Molecular Biology of Dengue and Flaviviruses Research Team, National Center for Genetic Engineering and Biotechnology (BIOTEC), National Science and Development Agency, NSTDA, Pathum Thani, 12120, Thailand.",
40599452,Safflower-Derived Cationic Lipid Nanoparticles: Potential Impact on the Delivery of SARS-CoV-2 MRNA Transcripts.,2024,H Nasr Isfahani; A A Hariri; Z Sharifnia; A Moradi,"Biotechnology Department, Behyaar Sanaat Sepahan Company, Isfahan, Iran.; Biotechnology Department, Behyaar Sanaat Sepahan Company, Isfahan, Iran.; Biotechnology Department, Behyaar Sanaat Sepahan Company, Isfahan, Iran.; Biotechnology Department, Behyaar Sanaat Sepahan Company, Isfahan, Iran.",
40597698,Over- and under-estimation of vaccine effectiveness.,2025,Hilla De-Leon; Dvir Aran,"Faculty of Biology, Technion-Israel Institute of Technology, Technion-Israel Institute of Technology, 21 Sderot Rose, Haifa, 3095230, Israel.; Faculty of Biology, Technion-Israel Institute of Technology, Technion-Israel Institute of Technology, 21 Sderot Rose, Haifa, 3095230, Israel. dviraran@technion.ac.il.",dviraran@technion.ac.il
40594764,Efficacy and safety of a novel multivalent mRNA vaccine against SARS-CoV-2 in experimental animals.,2025,Woo Ghil Lee; Seong In Jeong; Ji Young Song; In-Chul Lee; Hyung-Jun Kwon; Young-Bae Ryu; Kyong-Cheol Ko,"Rnagene Co., Ltd., 603-605, 7 Beobwon-ro 6-gil, Songpa-gu, Seoul-si, 05855, Republic of Korea.; Rnagene Co., Ltd., 603-605, 7 Beobwon-ro 6-gil, Songpa-gu, Seoul-si, 05855, Republic of Korea.; Rnagene Co., Ltd., 603-605, 7 Beobwon-ro 6-gil, Songpa-gu, Seoul-si, 05855, Republic of Korea.; Korea Research Institute of Bioscience and Biotechnology, Functional Biomaterial Research Center, 181 Ipsin-gil, Jeongeup-si, Republic of Korea.; Korea Research Institute of Bioscience and Biotechnology, Functional Biomaterial Research Center, 181 Ipsin-gil, Jeongeup-si, Republic of Korea.; Korea Research Institute of Bioscience and Biotechnology, Functional Biomaterial Research Center, 181 Ipsin-gil, Jeongeup-si, Republic of Korea.; Korea Research Institute of Bioscience and Biotechnology, Korea Preclinical Evaluation Center, 125 Gwahak-ro, Yuseong-gu, Daejeon, 34141, South Korea.",
40594178,Tough talks COVID-19 (TT-C) digital health intervention: multistate randomized controlled trial.,2025,Margo Adams Larsen,"Virtually Better, Inc, Decatur, GA, USA.",
40593765,Systems vaccinology identifies immunological correlates of SARS-CoV-2 vaccine response in solid organ transplant recipients.,2025,Julika Neumann; Teresa Prezzemolo; Margaux Gerbaux; Leoni Bücken; Mathijs Willemsen; Stephanie Humblet-Baron,"KU Leuven, Department of Microbiology, Immunology and Transplantation, Leuven, Belgium.; KU Leuven, Department of Microbiology, Immunology and Transplantation, Leuven, Belgium.; KU Leuven, Department of Microbiology, Immunology and Transplantation, Leuven, Belgium.; KU Leuven, Department of Microbiology, Immunology and Transplantation, Leuven, Belgium.; KU Leuven, Department of Microbiology, Immunology and Transplantation, Leuven, Belgium.; KU Leuven, Department of Microbiology, Immunology and Transplantation, Leuven, Belgium. stephanie.humbletbaron@kuleuven.be.",stephanie.humbletbaron@kuleuven.be
40591130,Safety and Immunogenicity of Monovalent Omicron KP.2-Adapted BNT162b2 COVID-19 Vaccine in Adults: Single-Arm Substudy from a Phase 2/3 Trial.,2025,Oyeniyi Diya; Juleen Gayed; Federico Mensa; Mark Cutler; Todd Belanger; David Cooper; Özlem Türeci; Uǧur Şahin; Kena A Swanson; Kayvon Modjarrad; Annaliesa S Anderson; Alejandra Gurtman; Nicholas Kitchin,"Vaccine Research and Development, Pfizer Ltd, Marlow, UK.; Vaccine Research and Development, Pfizer Ltd, Marlow, UK. juleen.gayed@pfizer.com.; BioNTech, Mainz, Germany.; Vaccine Research and Development, Pfizer Inc, Pearl River, NY, USA.; Vaccine Research and Development, Pfizer Inc, Pearl River, NY, USA.; Vaccine Research and Development, Pfizer Inc, Pearl River, NY, USA.; BioNTech, Mainz, Germany.; BioNTech, Mainz, Germany.; Vaccine Research and Development, Pfizer Inc, Pearl River, NY, USA.; Vaccine Research and Development, Pfizer Inc, Pearl River, NY, USA.; Vaccine Research and Development, Pfizer Inc, Pearl River, NY, USA.; Vaccine Research and Development, Pfizer Inc, Pearl River, NY, USA.; Vaccine Research and Development, Pfizer Ltd, Marlow, UK.",juleen.gayed@pfizer.com
40589754,A novel and safe SmartCap<sup>®</sup> SC101 to develop the COVID-19 mRNA vaccine STP2104 inducing potent immune responses in humans.,2025,Rachel Kim; Tae-Gi Uhm; Jisu Kim; Dayeon Woo; Uk-Il Kim; Xue Meng; Byounggu Yang; Suhyeon Kim; Heejene Kim; Jonghyeon Kim; Joo-Young Lee; Byungkyun Kim; Dongheon Cho; Duckho Chang; Young-Hwan Cho; Kanghyun Choi; Hoon-Woo Lee; Jieun Bang; Elizabeth Hellström; Kyungjin Kim; Joo-Sung Yang,"R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; Be Part Research (PTY) Ltd., Paarl, South Africa.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.; R&D Center, ST Pharm Co., Ltd., Seoul, Republic of Korea.",
40589223,Editorial: The 2025 World Health Assembly Pandemic Agreement and the 2024 Amendments to the International Health Regulations Combine for Pandemic Preparedness and Response.,2025,Dinah V Parums,"Science Editor, Medical Science Monitor, International Scientific Information, Inc., Melville, NY, USA.",
40585204,Empiric Azithromycin in COVID-19 Impacts the Respiratory Microbiome and Antimicrobial Resistome without Anti-inflammatory Benefit.,2025,Abigail Glascock,Chan Zuckerberg Biohub.,
40584171,Emerging RNA-centric technologies to probe RNA-protein interactions: importance in decoding the life cycle of positive sense single strand RNA viruses and antiviral discovery.,2025,Sreemoyee Ghosh; Shivam Kumar; Rohit Verma; Shabnam Ansari; Samrat Chatterjee; Milan Surjit,"Virology Laboratory, Centre for Virus Research, Therapeutics and Vaccines, Translational Health Science and Technology Institute, NCR Biotech Science Cluster, Faridabad, Haryana, India.; Complex Analysis Group, Computational and Mathematical Biology Centre, Translational Health Science and Technology Institute, NCR Biotech Science Cluster, Faridabad, Haryana, India.; Virology Laboratory, Centre for Virus Research, Therapeutics and Vaccines, Translational Health Science and Technology Institute, NCR Biotech Science Cluster, Faridabad, Haryana, India.; Virology Laboratory, Centre for Virus Research, Therapeutics and Vaccines, Translational Health Science and Technology Institute, NCR Biotech Science Cluster, Faridabad, Haryana, India.; Complex Analysis Group, Computational and Mathematical Biology Centre, Translational Health Science and Technology Institute, NCR Biotech Science Cluster, Faridabad, Haryana, India.; Virology Laboratory, Centre for Virus Research, Therapeutics and Vaccines, Translational Health Science and Technology Institute, NCR Biotech Science Cluster, Faridabad, Haryana, India.",
40581329,Anti-spike IgG4 and Fc effector responses: The impact of SARS-CoV-2 vaccine platform-specific priming and immune imprinting.,2025,Raj Kalkeri; Mingzhu Zhu; Shane Cloney-Clark; Anand Parekh; Drew Gorinson; Zhaohui Cai; Miranda R Cai; Soham Mahato; Gordon Chau; Anthony M Marchese; Louis Fries; Lisa M Dunkle; Joyce S Plested,"Novavax, Inc., Gaithersburg, MD, United States. Electronic address: RKalkeri@novavax.com.; Novavax, Inc., Gaithersburg, MD, United States.; Novavax, Inc., Gaithersburg, MD, United States.; Novavax, Inc., Gaithersburg, MD, United States.; Novavax, Inc., Gaithersburg, MD, United States.; Novavax, Inc., Gaithersburg, MD, United States.; Novavax, Inc., Gaithersburg, MD, United States.; Novavax, Inc., Gaithersburg, MD, United States.; Novavax, Inc., Gaithersburg, MD, United States.; Novavax, Inc., Gaithersburg, MD, United States.; Novavax, Inc., Gaithersburg, MD, United States.; Novavax, Inc., Gaithersburg, MD, United States.; Novavax, Inc., Gaithersburg, MD, United States.",RKalkeri@novavax.com
40580944,Lessons from COVID-19 vaccine hesitancy among healthcare workers in West Africa and strategies for future pandemic preparedness: a structured literature review.,2025,Sunday Iphierohor Asasah,"Directorate of Epidemiology, Biosecurity and Global Health, Lagos State Ministry of Health, Secretariat Building, Alausa, Lagos State, Nigeria.",
40578458,Microneedle & film-forming gel transdermal delivery strategy: A novel approach for vaccine delivery.,2025,Sha Guo,"WHO Collaborating Centre for Standardization and Evaluation of Biologicals, State Key Laboratory of Drug Regulatory Science, NHC Key Laboratory of Research on Quality and Standardization of Biotech Products, NMPA Key Laboratory for Quality Research and Evaluation of Biological Products, National Institutes for Food and Drug Control, Beijing, China.",
40577471,"Phase 2/3 study evaluating safety, immunogenicity, and noninferiority of single booster dose of AVX/COVID-12 vaccine.",2025,Martha Torres; Arturo Galindo-Fraga; Claudia Carranza; Esmeralda Juárez; Horacio Zamudio-Meza; Laura E Carreto-Binaghi; Mercedes Viettri; Andrea Palencia,"Laboratorio de Inmunobiología de la Tuberculosis, Instituto Nacional de Enfermedades Respiratorias (INER) ""Ismael Cosío Villegas,"" CDMX, México.; Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán (INCMNSZ), CDMX, México.; Laboratorio de Inmunobiología de la Tuberculosis, Instituto Nacional de Enfermedades Respiratorias (INER) ""Ismael Cosío Villegas,"" CDMX, México.; Departamento de Investigación en Microbiología, INER ""Ismael Cosío Villegas,"" CDMX, México.; Laboratorio de Inmunobiología de la Tuberculosis, Instituto Nacional de Enfermedades Respiratorias (INER) ""Ismael Cosío Villegas,"" CDMX, México.; Laboratorio de Inmunobiología de la Tuberculosis, Instituto Nacional de Enfermedades Respiratorias (INER) ""Ismael Cosío Villegas,"" CDMX, México.; Laboratorio de Inmunobiología de la Tuberculosis, Instituto Nacional de Enfermedades Respiratorias (INER) ""Ismael Cosío Villegas,"" CDMX, México.; Laboratorio de Inmunobiología de la Tuberculosis, Instituto Nacional de Enfermedades Respiratorias (INER) ""Ismael Cosío Villegas,"" CDMX, México.",
40575911,"Hospitalisation trends of respiratory syncytial virus (RSV) infection in adults, six European countries, before and during COVID-19, 2016 to 2023.",2025,Arantxa Urchueguía-Fornes; Caroline Klint Johannesen; Alejandro Orrico-Sánchez,"Vaccine Research Department, Foundation for the Promotion of Health and Biomedical Research in the Valencian Region (FISABIO), Valencia, Spain.; Department of Virology and Microbiological Preparedness, Statens Serum Institut, Copenhagen, Denmark.; Vaccine Research Department, Foundation for the Promotion of Health and Biomedical Research in the Valencian Region (FISABIO), Valencia, Spain.",
40574110,Implications of Anaphylaxis Following mRNA-LNP Vaccines: It Is Urgent to Eliminate PEG and Find Alternatives.,2025,Jinxing Song; Dihan Su; Hongbing Wu; Jeremy Guo,"WuXi Biologics, 190 Hedan Road, Waigaoqiao Free Trade Zone, Shanghai 200131, China.; WuXi Biologics, 190 Hedan Road, Waigaoqiao Free Trade Zone, Shanghai 200131, China.; WuXi Biologics, 190 Hedan Road, Waigaoqiao Free Trade Zone, Shanghai 200131, China.; WuXi Biologics, 190 Hedan Road, Waigaoqiao Free Trade Zone, Shanghai 200131, China.",
40573979,SARS-CoV-2 Receptor Binding Domain (RBD) Protein-Protein Conjugate Induces Similar or Better Antibody Responses as Spike mRNA in Rhesus Macaques.,2025,Puthupparampil V Scaria; Christopher G Rowe; Jonathan P Renn; Nada Alani; Pinar Kemanli; Sachy Orr-Gonzalez; Lynn E Lambert; Kayode Adeyemi; Justin Y A Doritchamou; Emma K Barnafo; Kelly M Rausch; Liya Muslinkina; Robert D Morrison; Andrew Lees; Patrick E Duffy,"Laboratory of Malaria Immunology and Vaccinology, National Institute of Allergy and Infectious Diseases, National Institutes of Health, 29 Lincoln Drive, Building 29B, Bethesda, MD 20892, USA.; Laboratory of Malaria Immunology and Vaccinology, National Institute of Allergy and Infectious Diseases, National Institutes of Health, 29 Lincoln Drive, Building 29B, Bethesda, MD 20892, USA.; Laboratory of Malaria Immunology and Vaccinology, National Institute of Allergy and Infectious Diseases, National Institutes of Health, 29 Lincoln Drive, Building 29B, Bethesda, MD 20892, USA.; Laboratory of Malaria Immunology and Vaccinology, National Institute of Allergy and Infectious Diseases, National Institutes of Health, 29 Lincoln Drive, Building 29B, Bethesda, MD 20892, USA.; Laboratory of Malaria Immunology and Vaccinology, National Institute of Allergy and Infectious Diseases, National Institutes of Health, 29 Lincoln Drive, Building 29B, Bethesda, MD 20892, USA.; Laboratory of Malaria Immunology and Vaccinology, National Institute of Allergy and Infectious Diseases, National Institutes of Health, 29 Lincoln Drive, Building 29B, Bethesda, MD 20892, USA.; Laboratory of Malaria Immunology and Vaccinology, National Institute of Allergy and Infectious Diseases, National Institutes of Health, 29 Lincoln Drive, Building 29B, Bethesda, MD 20892, USA.; Laboratory of Malaria Immunology and Vaccinology, National Institute of Allergy and Infectious Diseases, National Institutes of Health, 29 Lincoln Drive, Building 29B, Bethesda, MD 20892, USA.; Laboratory of Malaria Immunology and Vaccinology, National Institute of Allergy and Infectious Diseases, National Institutes of Health, 29 Lincoln Drive, Building 29B, Bethesda, MD 20892, USA.; Laboratory of Malaria Immunology and Vaccinology, National Institute of Allergy and Infectious Diseases, National Institutes of Health, 29 Lincoln Drive, Building 29B, Bethesda, MD 20892, USA.; Laboratory of Malaria Immunology and Vaccinology, National Institute of Allergy and Infectious Diseases, National Institutes of Health, 29 Lincoln Drive, Building 29B, Bethesda, MD 20892, USA.; Structural Biology Section, Research Technologies Branch, National Institute of Allergy and Infectious Diseases, National Institutes of Health, Bethesda, MD 20892, USA.; Laboratory of Malaria Immunology and Vaccinology, National Institute of Allergy and Infectious Diseases, National Institutes of Health, 29 Lincoln Drive, Building 29B, Bethesda, MD 20892, USA.; Fina BioSolutions LLC, 9430 Key West Ave. Suite 200, Rockville, MD 20850, USA.; Laboratory of Malaria Immunology and Vaccinology, National Institute of Allergy and Infectious Diseases, National Institutes of Health, 29 Lincoln Drive, Building 29B, Bethesda, MD 20892, USA.",
